d_r,beta_r,chisq,4,8,16,32
0.0001,0.1,94.43328304755724,0.00010816473028009141,0.00011261728381884512,0.00011639852191859658,0.00011767780413410363
0.0001,0.2,94.39436170340029,0.00011761830108768366,0.0001275256885084439,0.00013632597853270175,0.00013969301588478798
0.0001,0.30000000000000004,94.34761713547302,0.00012851345890582474,0.00014515856600464465,0.0001606387015735612,0.00016730748027441833
0.0001,0.4,94.29130803407837,0.00014102964797301648,0.0001660363316401798,0.0001904148924552996,0.00020218787253792027
0.0001,0.5,94.22326717291175,0.0001553767857536993,0.00019078437802955815,0.00022701411667899488,0.00024654349850361247
0.0001,0.6,94.14078960860249,0.00017179976621862543,0.00022015481560566088,0.0002721530952443448,0.0003033127954363667
0.0001,0.7000000000000001,94.04048961587321,0.00019058380796632,0.00025505288273292844,0.00032800232918674414,0.0003764161979814476
0.0001,0.8,93.91811721158943,0.00021206078793187212,0.00029656906042357597,0.0003973093737937255,0.0004710995729502933
0.0001,0.9,93.768322398203,0.00023661672933898855,0.0003460181639818029,0.00048355622583897334,0.0005944014304837041
0.0001,1.0,93.58435175996378,0.0002647006455257314,0.0004049869773675435,0.000591160406553683,0.0007557895329919689
0.0001,1.1,93.35765760418266,0.0002968349803486022,0.0004753923594185024,0.0007257320525302522,0.0009680296617530691
0.0001,1.2000000000000002,93.07739430101793,0.00033362793227803463,0.0005595522014545703,0.0008944028443889375,0.0012483729947574396
0.0001,1.3000000000000003,92.72976976837634,0.00037578800451628177,0.0006602721747033943,0.001106247139618665,0.001620181351497277
0.0001,1.4000000000000001,92.29721233098932,0.00042414118926233503,0.0007809519003777161,0.0013728215308708165,0.0021151550374811667
0.0001,1.5000000000000002,91.75730513440445,0.0004796512727348684,0.0009257150389297651,0.0017088566127127472,0.0027763911635840803
0.0001,1.6,91.08143370345846,0.0005434438412832303,0.0010995688705083878,0.0021331445132455095,0.003662588116829371
0.0001,1.7000000000000002,90.2330911425602,0.000616834680918131,0.0013086002794118156,0.002669678388411748,0.004853834138617889
0.0001,1.8000000000000003,89.16579839804484,0.0007013633965426318,0.0015602167286755688,0.003349116440369619,0.006459588532540883
0.0001,1.9000000000000001,87.82064121299967,0.000798833237466437,0.0018634429016986585,0.004210664219366087,0.008629702331785885
0.0001,2.0,86.12353517003366,0.0009113583077424173,0.0022292863030226864,0.005304496451114999,0.011569658736147057
0.0001,2.1,83.98257272923084,0.0010414195698522925,0.002671188385197763,0.006694875290546485,0.01556168051593815
0.0001,2.2,81.286312173403,0.0011919313259680497,0.003205581873941413,0.008464168208289886,0.020994004452059536
0.0001,2.3000000000000003,77.90569029367036,0.0013663201916767173,0.003852580115675121,0.010718028897185296,0.028397017089783344
0.0001,2.4000000000000004,73.70673688146648,0.0015686189738236612,0.004636830743736826,0.01359208286652876,0.038468415784530245
0.0001,2.5000000000000004,68.5731480417741,0.0018035783404371738,0.005588574099069056,0.017260561302899963,0.052128671947753856
0.0001,2.6,62.45982403468273,0.0020767997427423835,0.006744957088123917,0.02194745956826231,0.0705468251394239
0.0001,2.7,55.48900724917209,0.0023948937365920256,0.008151666073978502,0.02794096989054093,0.09513487276312646
0.0001,2.8000000000000003,48.102924506437674,0.002765668676806933,0.009864958686427163,0.03561216387117246,0.12747882502912689
0.0001,2.9000000000000004,41.2716877776157,0.003198355751378949,0.011954195006389312,0.045439195810568586,0.16916957347484465
0.0001,3.0000000000000004,36.12145363702802,0.003703877517588345,0.014504994579102568,0.058035791608479846,0.22148350414124868
0.0002,0.1,94.1675234979075,0.00021632946056018281,0.00022523456763769023,0.00023279704383719315,0.00023535560826820726
0.0002,0.2,94.08980419206041,0.00023523660217536732,0.0002550513770168878,0.0002726519570654035,0.00027938603176957597
0.0002,0.30000000000000004,93.99648437457111,0.0002570269178116495,0.0002903171320092893,0.0003212774031471224,0.00033461496054883666
0.0002,0.4,93.88410061462271,0.00028205929594603296,0.0003320726632803596,0.0003808297849105992,0.00040437574507584055
0.0002,0.5,93.74834645219957,0.0003107535715073986,0.0003815687560591163,0.00045402823335798976,0.0004930869970072249
0.0002,0.6,93.58385318419057,0.00034359953243725085,0.00044030963121132177,0.0005443061904886896,0.0006066255908727334
0.0002,0.7000000000000001,93.3839104856612,0.00038116761593264,0.0005101057654658569,0.0006560046583734883,0.0007528323959628952
0.0002,0.8,93.14010994652494,0.00042412157586374424,0.0005931381208471519,0.000794618747587451,0.0009421991459005867
0.0002,0.9,92.8418900162828,0.0004732334586779771,0.0006920363279636057,0.0009671124516779467,0.0011888028609674081
0.0002,1.0,92.47595528631584,0.0005294012910514628,0.000809973954735087,0.001182320813107366,0.0015115790659839378
0.0002,1.1,92.02553656789141,0.0005936699606972044,0.0009507847188370048,0.0014514641050605043,0.0019360593235061383
0.0002,1.2000000000000002,91.4694512481061,0.0006672558645560693,0.0011191044029091406,0.001788805688777875,0.002496745989514879
0.0002,1.3000000000000003,90.7809170384866,0.0007515760090325635,0.0013205443494067885,0.00221249427923733,0.003240362702994554
0.0002,1.4000000000000001,89.92606901566836,0.0008482823785246701,0.0015619038007554321,0.002745643061741633,0.004230310074962333
0.0002,1.5000000000000002,88.86213514405497,0.0009593025454697367,0.0018514300778595303,0.0034177132254254944,0.005552782327168161
0.0002,1.6,87.5352500530222,0.0010868876825664605,0.0021991377410167756,0.004266289026491019,0.007325176233658742
0.0002,1.7000000000000002,85.87795191141157,0.001233669361836262,0.002617200558823631,0.005339356776823496,0.009707668277235779
0.0002,1.8000000000000003,83.80655383910646,0.0014027267930852637,0.0031204334573511376,0.006698232880739238,0.012919177065081767
0.0002,1.9000000000000001,81.21888823063384,0.001597666474932874,0.003726885803397317,0.008421328438732174,0.017259404538970933
0.0002,2.0,77.99354043898352,0.0018227166154848346,0.004458572606045373,0.010608992902229998,0.023139314992279978
0.0002,2.1,73.99293094131865,0.002082839139704585,0.005342376770395526,0.01338975058109297,0.03112319096411179
0.0002,2.2,69.0782627579476,0.0023838626519360993,0.006411163747882826,0.016928336416579773,0.04196601584244369
0.0002,2.3000000000000003,63.141616258338274,0.0027326403833534347,0.007705160231350242,0.02143605779437059,0.05666136781292646
0.0002,2.4000000000000004,56.170314372486516,0.0031372379476473223,0.009273661487473652,0.02718416573305752,0.07648978466294759
0.0002,2.5000000000000004,48.368285770716994,0.0036071566808743476,0.011177148198138111,0.034521122605799925,0.10301617082995106
0.0002,2.6,40.35048258430861,0.004153599485484767,0.013489914176247834,0.04389491913652462,0.13801294339799175
0.0002,2.7,33.37128254872159,0.004789787473184051,0.016303332147957005,0.05588193978108186,0.18325446783015265
0.0002,2.8000000000000003,28.70489202682253,0.005531337353613866,0.019729917372854327,0.07122121885653347,0.24011737832670055
0.0002,2.9000000000000004,28.628595520670608,0.006396711502757898,0.023908390012778623,0.09077461678694486,0.3092286525252019
0.0002,3.0000000000000004,35.9200685495781,0.00740775503517669,0.029009989158205136,0.11561196443432271,0.3893057469140096
0.00030000000000000003,0.1,93.90216947184011,0.0003244941908402742,0.00033785185145653534,0.0003491955657557897,0.000353033412402311
0.00030000000000000003,0.2,93.78577558676959,0.000352854903263051,0.0003825770655253318,0.00040897793559810527,0.00041907904765436395
0.00030000000000000003,0.30000000000000004,93.64604983808361,0.00038554037671747414,0.0004354756980139339,0.00048191610472068366,0.000501922440823255
0.00030000000000000003,0.4,93.47782586242232,0.0004230889439190494,0.0004981089949205394,0.0005712446773658987,0.000606563617613761
0.00030000000000000003,0.5,93.27468595865282,0.0004661303572610979,0.0005723531340886745,0.0006810423500369848,0.0007396304955108371
0.00030000000000000003,0.6,93.02863884755351,0.0005153992986558762,0.0006604644468169826,0.0008164592857330345,0.0009099383863091002
0.00030000000000000003,0.7000000000000001,92.72971073015319,0.00057175142389896,0.0007651586481987852,0.0009840069875602323,0.001129248593944343
0.00030000000000000003,0.8,92.36542632559583,0.0006361823637956164,0.0008897071812707281,0.0011919281213811765,0.0014132987188508804
0.00030000000000000003,0.9,91.92015097502879,0.0007098501880169655,0.0010380544919454087,0.0014506686775169202,0.0017832042914511124
0.00030000000000000003,1.0,91.37425869984548,0.000794101936577194,0.0012149609321026307,0.0017734812196610493,0.0022673685989759067
0.00030000000000000003,1.1,90.70308501191553,0.0008905049410458066,0.0014261770782555072,0.002177196157590756,0.002904088985259208
0.00030000000000000003,1.2000000000000002,89.87561896205379,0.001000883796834104,0.0016786566043637111,0.002683208533166813,0.003745118984272318
0.00030000000000000003,1.3000000000000003,88.85288993112012,0.0011273640135488453,0.0019808165241101826,0.003318741418855996,0.004860544054491831
0.00030000000000000003,1.4000000000000001,87.58601817482639,0.0012724235677870049,0.0023428557011331477,0.004118464592612449,0.0063454651124435005
0.00030000000000000003,1.5000000000000002,86.0139381497409,0.0014389538182046054,0.0027771451167892956,0.005126569838138242,0.008329173490752243
0.00030000000000000003,1.6,84.0608971694806,0.0016303315238496911,0.003298706611525164,0.006399433539736528,0.010987764350488117
0.00030000000000000003,1.7000000000000002,81.63403042734342,0.001850504042754393,0.0039258008382354465,0.008009035165235247,0.014561502415853668
0.00030000000000000003,1.8000000000000003,78.6217144536438,0.002104090189627896,0.004680650186026707,0.010047349321108855,0.019378765546264196
0.00030000000000000003,1.9000000000000001,74.89418938436935,0.0023964997123993113,0.005590328705095976,0.012631992658098263,0.025889105429641228
0.00030000000000000003,2.0,70.3094659467601,0.0027340749232272516,0.006687858909068059,0.015913489353345,0.03470895619272671
0.00030000000000000003,2.1,64.73312282019178,0.003124258709556878,0.00801356515559329,0.020084625871639457,0.046667600405203145
0.00030000000000000003,2.2,58.08184975903587,0.0035757939779041494,0.009616745621824239,0.025392504624869663,0.06285419753693562
0.00030000000000000003,2.3000000000000003,50.40590229694076,0.004098960575030152,0.011557740347025364,0.03215408669155589,0.0846735423075977
0.00030000000000000003,2.4000000000000004,42.04236617533325,0.004705856921470982,0.013910492231210483,0.040776248599586284,0.11383679933598671
0.00030000000000000003,2.5000000000000004,33.85683704962221,0.005410735021311522,0.01676572229720717,0.051781683908699895,0.15225989380942104
0.00030000000000000003,2.6,27.340484341379092,0.006230399228227151,0.02023487126437175,0.06584237870478694,0.20180041065415624
0.00030000000000000003,2.7,24.09970026671403,0.0071846812097760785,0.02445499822193551,0.08381339037952938,0.2637714006277414
0.00030000000000000003,2.8000000000000003,27.065947113267633,0.008297006030420799,0.029594876059281492,0.10668679491514904,0.33846556183065646
0.00030000000000000003,2.9000000000000004,38.789486300179675,0.00959506725413685,0.035862585019167934,0.1357098823541613,0.4236464043381367
0.00030000000000000003,3.0000000000000004,62.011434737139645,0.011111632552765035,0.04351498373730771,0.1724243041449211,0.5135637259227723
0.0004,0.1,93.63722096935508,0.00043265892112036563,0.00045046913527538047,0.0004655940876743863,0.0004707112165364145
0.0004,0.2,93.48227588752789,0.00047047320435073464,0.0005101027540337756,0.000545303914130807,0.0005587720635391519
0.0004,0.30000000000000004,93.29631352601052,0.000514053835623299,0.0005806342640185786,0.0006425548062942448,0.0006692299210976733
0.0004,0.4,93.07248377747723,0.0005641185918920659,0.0006641453265607192,0.0007616595698211984,0.0008087514901516811
0.0004,0.5,92.80228569227148,0.0006215071430147971,0.0007631375121182326,0.0009080564667159795,0.0009861739940144499
0.0004,0.6,92.47514659869137,0.0006871990648745017,0.0008806192624226435,0.0010886123809773793,0.0012132511817454668
0.0004,0.7000000000000001,92.0778903493493,0.00076233523186528,0.0010202115309317138,0.0013120093167469766,0.0015056647919257904
0.0004,0.8,91.59406634880209,0.0008482431517274885,0.0011862762416943039,0.001589237495174902,0.0018843982918011733
0.0004,0.9,91.00310527444091,0.0009464669173559542,0.0013840726559272115,0.0019342249033558934,0.0023776057219348163
0.0004,1.0,90.27926200055273,0.0010588025821029255,0.001619947909470174,0.002364641626214732,0.0030231581319678756
0.0004,1.1,89.39030293625507,0.0011873399213944088,0.0019015694376740095,0.0029029282101210086,0.0038721186470122766
0.0004,1.2000000000000002,88.29589744286102,0.0013345117291121385,0.0022382088058182812,0.00357761137755575,0.004993491979029758
0.0004,1.3000000000000003,86.94568844627688,0.001503152018065127,0.002641088698813577,0.00442498855847466,0.006480725405989108
0.0004,1.4000000000000001,85.27705980846345,0.0016965647570493401,0.0031238076015108643,0.005491286123483266,0.008460620149924667
0.0004,1.5000000000000002,83.21271415146221,0.0019186050909394735,0.0037028601557190606,0.006835426450850989,0.011105564654336321
0.0004,1.6,80.65837505283362,0.002173775365132921,0.004398275482033551,0.008532578052982038,0.014650352467317483
0.0004,1.7000000000000002,77.50132669072907,0.002467338723672524,0.005234401117647262,0.010678713553646992,0.019415336552488192
0.0004,1.8000000000000003,73.61128029062945,0.0028054535861705273,0.006240866914702275,0.013396465761478476,0.025838353697419447
0.0004,1.9000000000000001,68.84654518232097,0.003195332949865748,0.007453771606794634,0.01684265687746435,0.03451880175186774
0.0004,2.0,63.07218457134221,0.003645433230969669,0.008917145212090746,0.021217985804459997,0.04627293409152032
0.0004,2.1,56.20473081377634,0.00416567827940917,0.010684753540791053,0.02677950116218594,0.06217577012932952
0.0004,2.2,48.29373495229807,0.004767725303872199,0.012822327495765652,0.033856672833159546,0.08362864358578644
0.0004,2.3000000000000003,39.67678469697482,0.005465280766706869,0.015410320462700484,0.04287211558874118,0.11236789663775969
0.0004,2.4000000000000004,31.23159257989627,0.006274475895294645,0.018547322974947305,0.05436833146611504,0.15038081756577315
0.0004,2.5000000000000004,24.529794655117552,0.007214313361748695,0.022354296396276223,0.06904224521159985,0.19965616534542313
0.0004,2.6,21.315030019819392,0.008307198970969534,0.02697982835249567,0.08778647722209636,0.26167866468257156
0.0004,2.7,24.558570755343478,0.009579574946368102,0.03260666429591401,0.11164968442974213,0.3369063062152816
0.0004,2.8000000000000003,37.11587167480517,0.011062674707227733,0.039459834745708654,0.14192792941480686,0.4233018353410565
0.0004,2.9000000000000004,62.259367170747,0.012793423005515796,0.04781678002555725,0.18023091641252162,0.5150162430439404
0.0004,3.0000000000000004,102.3725893721212,0.01481551007035338,0.05801997831641027,0.22851445133469686,0.6030260484347413
0.0005,0.1,93.37267799045242,0.000540823651400457,0.0005630864190942255,0.0005819926095929829,0.0005883890206705183
0.0005,0.2,93.17930509433528,0.0005880915054384182,0.0006376284425422197,0.0006816298926635087,0.0006984650794239399
0.0005,0.30000000000000004,92.94727543835182,0.0006425672945291236,0.0007257928300232232,0.000803193507867806,0.0008365374013720914
0.0005,0.4,92.6680743597874,0.0007051482398650824,0.0008301816582008989,0.0009520744622764978,0.0010109393626896014
0.0005,0.5,92.33114565305559,0.0007768839287684964,0.0009539218901477907,0.0011350705833949744,0.0012327174925180623
0.0005,0.6,91.92337643760409,0.0008589988310931271,0.0011007740780283044,0.001360765476221724,0.0015165639771818336
0.0005,0.7000000000000001,91.4284493432494,0.0009529190398316,0.0012752644136646417,0.0016400116459337208,0.0018820809899072384
0.0005,0.8,90.82603001614375,0.0010603039396593606,0.00148284530211788,0.0019865468689686276,0.0023554978647514673
0.0005,0.9,90.0907529145192,0.0011830836466949425,0.0017300908199090143,0.002417781129194867,0.00297200715241852
0.0005,1.0,89.19096518843759,0.0013235032276286563,0.0020249348868377178,0.0029558020327684147,0.0037789476649598445
0.0005,1.1,88.08719034091004,0.001484174901743011,0.0023769617970925117,0.0036286602626512607,0.004840148308765346
0.0005,1.2000000000000002,86.73028669052776,0.0016681396613901732,0.0027977610072728513,0.004472014221944687,0.006241864973787197
0.0005,1.3000000000000003,85.05931258395687,0.0018789400225814087,0.0033013608735169707,0.005531235698093327,0.008100906757486384
0.0005,1.4000000000000001,82.9991939165795,0.0021207059463116745,0.0039047595018885796,0.006864107654354082,0.010575775187405835
0.0005,1.5000000000000002,80.45846314921893,0.002398256363674342,0.004628575194648826,0.008544283063563736,0.013881955817920405
0.0005,1.6,77.3276837030813,0.0027172192064161514,0.005497844352541938,0.010665722566227548,0.018312940584146856
0.0005,1.7000000000000002,73.47984070916671,0.0030841734045906548,0.006543001397059078,0.013348391942058743,0.02426917064523044
0.0005,1.8000000000000003,68.77525144029714,0.0035068169827131594,0.0078010836433778435,0.01674558220184809,0.03229794094787719
0.0005,1.9000000000000001,63.07597755537898,0.003994166187332185,0.009317214508493292,0.021053321096830432,0.04314835426429763
0.0005,2.0,56.282562342196925,0.0045567915387120855,0.011146431515113431,0.026522482255575,0.057823320785185914
0.0005,2.1,48.406813402514366,0.005207097849261463,0.013355941925988817,0.03347437645273243,0.07763760002644259
0.0005,2.2,39.70709814448413,0.0059596566298402475,0.016027909369707063,0.04232084104144943,0.10426451901607016
0.0005,2.3000000000000003,30.923264577917042,0.006831600958383586,0.019262900578375607,0.053590144485926486,0.13969138399617595
0.0005,2.4000000000000004,23.568271186885998,0.007843094869118305,0.023184153718684132,0.0679604143326438,0.1860285957940402
0.0005,2.5000000000000004,19.371936062111715,0.009017891702185869,0.027942870495345277,0.08630280651449983,0.24507246979718653
0.0005,2.6,21.164395288893672,0.010383998713711916,0.03372478544061958,0.10968388638386173,0.31768820629873995
0.0005,2.7,31.972415347235128,0.011974468682960126,0.04075833036989252,0.13936606682675126,0.4027706730551712
0.0005,2.8000000000000003,55.552297041457095,0.013828343384034665,0.04932479343213582,0.17694184856594244,0.4953546553341469
0.0005,2.9000000000000004,94.9233752989817,0.015991778756894743,0.05977097503194656,0.22434710131270463,0.5866897297348066
0.0005,3.0000000000000004,151.90877361877335,0.018519387587941725,0.07252497289551284,0.2839210116017121,0.6653725078502237
0.0006000000000000001,0.1,93.1085405351321,0.0006489883816805484,0.0006757037029130707,0.0006983911315115794,0.000706066824804622
0.0006000000000000001,0.2,92.8768632071918,0.000705709806526102,0.0007651541310506636,0.0008179558711962105,0.0008381580953087279
0.0006000000000000001,0.30000000000000004,92.5989355751075,0.0007710807534349483,0.0008709513960278679,0.0009638322094413673,0.00100384488164651
0.0006000000000000001,0.4,92.26459760935285,0.0008461778878380988,0.0009962179898410789,0.0011424893547317973,0.001213127235227522
0.0006000000000000001,0.5,91.86126584100508,0.0009322607145221958,0.001144706268177349,0.0013620847000739697,0.0014792609910216743
0.0006000000000000001,0.6,91.3733283642917,0.0010307985973117524,0.0013209288936339653,0.001632918571466069,0.0018198767726182003
0.0006000000000000001,0.7000000000000001,90.78138771185355,0.00114350284779792,0.0015303172963975703,0.0019680139751204646,0.002258497187888686
